observation_date,MARTSMPCSM44X72USS_20190214,MARTSMPCSM44X72USS_20190311,MARTSMPCSM44X72USS_20190401,MARTSMPCSM44X72USS_20190418,MARTSMPCSM44X72USS_20190515,MARTSMPCSM44X72USS_20190614,MARTSMPCSM44X72USS_20190716,MARTSMPCSM44X72USS_20190815,MARTSMPCSM44X72USS_20190913,MARTSMPCSM44X72USS_20191016,MARTSMPCSM44X72USS_20191115,MARTSMPCSM44X72USS_20191213,MARTSMPCSM44X72USS_20200116,MARTSMPCSM44X72USS_20200214,MARTSMPCSM44X72USS_20200317,MARTSMPCSM44X72USS_20200415,MARTSMPCSM44X72USS_20200515,MARTSMPCSM44X72USS_20200616,MARTSMPCSM44X72USS_20200716,MARTSMPCSM44X72USS_20200814,MARTSMPCSM44X72USS_20200916,MARTSMPCSM44X72USS_20201016,MARTSMPCSM44X72USS_20201117,MARTSMPCSM44X72USS_20201216,MARTSMPCSM44X72USS_20210115,MARTSMPCSM44X72USS_20210217,MARTSMPCSM44X72USS_20210316,MARTSMPCSM44X72USS_20210415,MARTSMPCSM44X72USS_20210426,MARTSMPCSM44X72USS_20210514,MARTSMPCSM44X72USS_20210615,MARTSMPCSM44X72USS_20210716,MARTSMPCSM44X72USS_20210817,MARTSMPCSM44X72USS_20210916,MARTSMPCSM44X72USS_20211015,MARTSMPCSM44X72USS_20211116,MARTSMPCSM44X72USS_20211215,MARTSMPCSM44X72USS_20220114,MARTSMPCSM44X72USS_20220216,MARTSMPCSM44X72USS_20220316,MARTSMPCSM44X72USS_20220414,MARTSMPCSM44X72USS_20220425,MARTSMPCSM44X72USS_20220517,MARTSMPCSM44X72USS_20220615,MARTSMPCSM44X72USS_20220715,MARTSMPCSM44X72USS_20220817,MARTSMPCSM44X72USS_20220915,MARTSMPCSM44X72USS_20221014,MARTSMPCSM44X72USS_20221116,MARTSMPCSM44X72USS_20221215,MARTSMPCSM44X72USS_20230118,MARTSMPCSM44X72USS_20230215,MARTSMPCSM44X72USS_20230315,MARTSMPCSM44X72USS_20230414,MARTSMPCSM44X72USS_20230424,MARTSMPCSM44X72USS_20230516,MARTSMPCSM44X72USS_20230615,MARTSMPCSM44X72USS_20230718,MARTSMPCSM44X72USS_20230815,MARTSMPCSM44X72USS_20230914,MARTSMPCSM44X72USS_20231017,MARTSMPCSM44X72USS_20231115,MARTSMPCSM44X72USS_20231214,MARTSMPCSM44X72USS,RSBMGESD,RSCCAS,RSDBS,RSEAS,RSFHFS,RSFSDP,RSFSXMV,RSGASS,RSGCS,RSMVPD,RSNSR,RSXFS
2023-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,41077,25155,81206,7622,11553,88736,552715,53994,72913,130983,111076,594962
2023-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.7,0.7,0.7,0.7,0.7,0.4,41919,25195,81288,7711,11446,89984,554719,52560,72807,131953,112055,596688
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.2,0.2,0.2,0.2,0.3,41118,25286,81181,7771,11608,90804,555369,52180,72732,133441,112490,598006
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.6,0.6,0.6,0.3,41014,25584,81384,7576,11351,91371,558584,52074,72878,132057,115342,599270
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,0.7,0.7,0.8,41205,25922,81920,7647,11264,92051,563381,55612,73463,132857,114674,604187
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.8,0.8,40975,25566,81966,7798,11226,92979,567782,57621,73448,134327,116085,609130
2023-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.2,-0.4,40763,25499,82048,7767,11015,93288,567104,55707,73472,131852,116337,605668
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,40841,25764,82181,7508,11319,94672,567582,53518,73583,133125,117235,606035
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,40963,26147,82158,7363,11198,94526,569502,53099,73465,133754,119373,608730
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,39375,25960,81865,7597,11209,93710,564886,52376,73370,130745,118589,601921
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,40301,25949,81992,7814,10968,93799,566846,53397,73341,133673,117806,606720
2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,40222,25321,82265,7611,10743,93678,570253,53801,73617,133485,120781,610060
2024-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,40402,25893,82825,7810,10941,94223,570577,54663,74099,132104,119184,608458
2024-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,40189,26227,82758,7938,11034,94299,570764,53440,74024,133545,119729,610010
2024-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,40803,26248,82893,7821,11104,94364,573599,52340,74138,128751,122424,607986
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,41153,26299,83658,7831,11267,94891,576484,52625,74892,134367,122052,615960
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,41274,26053,83305,7640,11254,95503,576099,52164,74559,133939,122090,614535
2024-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,41683,26285,84108,7418,11329,96615,581804,51701,75287,134222,124130,619411
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,41895,26242,84226,7590,11183,97277,582521,51743,75341,136346,124475,621590
