observation_date,MARTSMPCSM44X72USS_20190214,MARTSMPCSM44X72USS_20190311,MARTSMPCSM44X72USS_20190401,MARTSMPCSM44X72USS_20190418,MARTSMPCSM44X72USS_20190515,MARTSMPCSM44X72USS_20190614,MARTSMPCSM44X72USS_20190716,MARTSMPCSM44X72USS_20190815,MARTSMPCSM44X72USS_20190913,MARTSMPCSM44X72USS_20191016,MARTSMPCSM44X72USS_20191115,MARTSMPCSM44X72USS_20191213,MARTSMPCSM44X72USS_20200116,MARTSMPCSM44X72USS_20200214,MARTSMPCSM44X72USS_20200317,MARTSMPCSM44X72USS_20200415,MARTSMPCSM44X72USS_20200515,MARTSMPCSM44X72USS_20200616,MARTSMPCSM44X72USS_20200716,MARTSMPCSM44X72USS_20200814,MARTSMPCSM44X72USS_20200916,MARTSMPCSM44X72USS_20201016,MARTSMPCSM44X72USS_20201117,MARTSMPCSM44X72USS_20201216,MARTSMPCSM44X72USS_20210115,MARTSMPCSM44X72USS_20210217,MARTSMPCSM44X72USS_20210316,MARTSMPCSM44X72USS_20210415,MARTSMPCSM44X72USS_20210426,MARTSMPCSM44X72USS_20210514,MARTSMPCSM44X72USS_20210615,MARTSMPCSM44X72USS_20210716,MARTSMPCSM44X72USS_20210817,MARTSMPCSM44X72USS_20210916,MARTSMPCSM44X72USS_20211015,MARTSMPCSM44X72USS_20211116,MARTSMPCSM44X72USS_20211215,MARTSMPCSM44X72USS_20220114,MARTSMPCSM44X72USS_20220216,MARTSMPCSM44X72USS_20220316,MARTSMPCSM44X72USS_20220414,MARTSMPCSM44X72USS_20220425,MARTSMPCSM44X72USS_20220517,MARTSMPCSM44X72USS_20220615,MARTSMPCSM44X72USS_20220715,MARTSMPCSM44X72USS_20220817,MARTSMPCSM44X72USS_20220915,MARTSMPCSM44X72USS_20221014,MARTSMPCSM44X72USS_20221116,MARTSMPCSM44X72USS_20221215,MARTSMPCSM44X72USS_20230118,MARTSMPCSM44X72USS_20230215,MARTSMPCSM44X72USS_20230315,MARTSMPCSM44X72USS_20230414,MARTSMPCSM44X72USS_20230424,MARTSMPCSM44X72USS_20230516,MARTSMPCSM44X72USS_20230615,MARTSMPCSM44X72USS_20230718,MARTSMPCSM44X72USS_20230815,MARTSMPCSM44X72USS_20230914,MARTSMPCSM44X72USS_20231017,MARTSMPCSM44X72USS_20231115,MARTSMPCSM44X72USS_20231214,RSBMGESD,RSCCAS,RSDBS,RSEAS,RSFHFS,RSFSDP,RSFSXMV,RSGASS,RSGCS,RSMVPD,RSNSR,RSXFS
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7.6,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.2,7.2,7.2,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,38691,20888,71487,7286,11790,58817,456234,40944,63472,114276,90483,511693
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-2.7,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.7,-2.8,-2.6,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,36956,19869,71740,6982,11152,57289,444792,41744,63821,110697,87714,498200
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.7,10.7,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.4,11.1,11.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,42276,24261,72199,8190,11949,65385,485780,46437,64006,130568,93564,550963
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,42189,24274,72826,8255,12005,68285,488795,45214,64604,133910,93681,554420
2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.7,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,40385,24875,73368,8088,11822,70254,485306,45585,65195,130237,91282,545289
2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39911,25868,74046,8410,11706,73432,495623,46655,65814,126502,94583,548693
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.8,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.0,-1.0,-1.0,-1.1,-1.5,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,39109,25152,73879,8270,11775,74830,490570,47502,65850,122077,89228,537817
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,1.2,1.2,1.2,1.2,1.2,1.2,0.7,0.7,0.7,0.7,0.9,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,39041,24677,75605,7962,11738,74752,497954,48620,67509,118938,93745,542140
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.7,0.7,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,0.8,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,39307,25076,75819,7854,11763,74803,500530,50151,67771,119999,93979,545726
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.6,1.4,1.4,1.4,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,40011,25248,76140,8349,11996,75045,508378,51883,68142,122184,97034,555517
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,1.1,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,41147,25824,76378,7458,11920,75600,513205,52934,68218,124570,98482,562175
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,-2.5,-2.7,-2.7,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-2.0,-1.2,-1.1,-1.1,-1.1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,41298,24718,76948,7410,11509,74367,510926,54338,68824,121589,97032,558148
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.9,5.1,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.0,2.5,1.8,1.8,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,42376,24050,77429,7454,11808,72709,515204,53670,69283,128830,101825,571325
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.1,1.8,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,42196,24708,77479,7580,11926,75913,520961,56028,69294,129561,100238,574609
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.8,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,43113,25838,78318,8216,12056,78255,535564,63183,70083,128603,100514,585912
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.4,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,42996,25882,78537,8459,12383,81104,542369,63821,70380,130876,101659,592141
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,42543,25379,79299,8056,12206,81758,545667,66679,71182,125373,101939,589282
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.5,0.7,0.8,0.8,0.8,0.8,0.8,42581,25565,79908,7864,11989,82342,550125,67937,71725,125577,102301,593360
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.8,-0.7,-0.7,-0.7,-0.7,42692,24969,79859,7984,11914,82028,547617,66021,71705,123450,103264,589039
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,43154,25259,80268,7895,12066,84120,548150,61054,71934,126957,104535,590987
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.3,42924,25552,80777,7835,11927,84418,547395,58395,72470,125917,105118,588894
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.5,43297,25599,81592,7800,12218,85909,553149,60478,73214,128599,105990,595839
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-1.0,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.4,-1.5,41994,25384,81795,7176,11808,85365,547867,59627,73438,125807,104600,588309
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.1,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,42275,24916,81576,7087,11503,84985,544358,56526,73347,122376,106279,581749
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.2,3.1,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,43082,26045,81347,8032,12964,90330,560045,56394,72793,133781,108861,603496
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.2,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,42685,25559,81935,7723,12159,88160,555928,55233,73572,130506,109584,598274
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-0.6,-0.7,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,40867,25387,81425,7788,11835,88461,549907,54863,73158,129160,108825,590606
2023-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,41077,25155,81206,7622,11553,88736,552715,53994,72913,130983,111076,594962
2023-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.7,0.7,0.7,0.7,0.7,41919,25195,81288,7711,11446,89984,554719,52560,72807,131953,112055,596688
